SEASON,NAME,start_time,start_wind_speed,lat_start,lon_start,end_time,end_wind_speed,lat_end,lon_end,wind_speed_change,duration
2007,LORENZO,9/26/2007 18:00,30,21.2,-94.4,9/27/2007 18:00,60,20.5,-95.7,30,24
2008,DOLLY,7/22/2008 12:00,55,23.7,-94.1,7/23/2008 12:00,85,25.9,-96.7,30,24
2008,GUSTAV,8/29/2008 9:00,52,18.122,-78.0476,8/30/2008 6:00,85,19.7,-80.8,33,21
2008,GUSTAV,8/30/2008 9:00,97,20.1699,-81.1925,8/30/2008 21:00,132,22.2146,-82.93,35,12
2008,MARCO,10/6/2008 0:00,25,18.5,-91.7,10/7/2008 0:00,55,19.7,-95.2,30,24
2008,PALOMA,11/6/2008 9:00,37,15.0925,-82.065,11/7/2008 9:00,70,17.7,-81.6574,33,24
2008,PALOMA,11/7/2008 9:00,70,17.7,-81.6574,11/8/2008 0:00,100,19,-81,30,15
2009,IDA,11/6/2009 18:00,30,15.4,-83.9,11/7/2009 18:00,60,18.7,-84.1,30,24
2010,KARL,9/14/2010 6:00,25,17,-81.1,9/15/2010 6:00,55,18.3,-86.2,30,24
2010,KARL,9/15/2010 21:00,42,19.0103,-89.4593,9/16/2010 21:00,77,19.6497,-93.7224,35,24
2010,KARL,9/16/2010 21:00,77,19.6497,-93.7224,9/17/2010 12:00,110,19.6,-95.6,33,15
2010,PAULA,10/11/2010 12:00,45,15,-83.2,10/12/2010 12:00,75,18.1,-85.6,30,24
2011,RINA,10/23/2011 15:00,27,15.1575,-81.5925,10/24/2011 15:00,57,17.0225,-82.815,30,24
2011,RINA,10/24/2011 15:00,57,17.0225,-82.815,10/25/2011 6:00,90,17.3,-83.5,33,15
2012,ERNESTO,8/7/2012 6:00,55,17.3,-83.3,8/8/2012 3:15,85,18.8,-87.7,30,21.25
2017,FRANKLIN,8/8/2017 18:00,35,19.9,-89.8,8/9/2017 18:00,65,20.2,-94.4,30,24
2017,HARVEY,8/23/2017 12:00,30,21.4,-92.3,8/24/2017 12:00,60,23.7,-93.1,30,24
2017,HARVEY,8/24/2017 12:00,60,23.7,-93.1,8/25/2017 6:00,90,25.6,-95.1,30,18
2017,KATIA,9/5/2017 18:00,30,22.4,-97,9/6/2017 18:00,65,21.8,-95.2,35,24
2017,NATE,10/6/2017 6:00,40,16.3,-84.7,10/7/2017 6:00,70,23.5,-86.5,30,24
2018,GORDON,9/3/2018 0:00,25,23.3,-78.2,9/4/2018 0:00,55,26.6,-83.3,30,24
2018,MICHAEL,10/7/2018 6:00,30,18.4,-86.8,10/8/2018 6:00,60,20.2,-85.4,30,24
2018,MICHAEL,10/9/2018 3:00,85,23.2077,-85.4771,10/10/2018 3:00,115,27.1275,-86.5795,30,24
2020,HANNA,7/24/2020 18:00,50,27.2,-93.7,7/25/2020 18:00,80,26.9,-96.8,30,24
2020,LAURA,8/25/2020 6:00,60,22.8,-84.8,8/26/2020 6:00,90,25.6,-90.2,30,24
2020,LAURA,8/26/2020 6:00,90,25.6,-90.2,8/26/2020 18:00,120,27.3,-92.5,30,12
2020,GAMMA,10/2/2020 18:00,35,18.4,-85,10/3/2020 16:45,65,20.2,-87.4,30,22.75
2020,GAMMA,10/5/2020 12:00,40,22.6,-87.5,10/6/2020 3:00,70,16.8123,-80.2052,30,15
2020,DELTA,10/5/2020 9:00,35,16.3999,-78.05,10/6/2020 0:00,65,16.6,-79.8,30,15
2020,DELTA,10/6/2020 9:00,87,17.4351,-81.32,10/6/2020 18:00,120,18.5,-83.3,33,9
2020,ZETA,10/27/2020 15:00,57,21.7274,-89.5226,10/28/2020 15:00,87,26.9318,-91.4953,30,24
2021,GRACE,8/19/2021 18:00,45,20.5,-89.5,8/20/2021 12:00,75,20.6,-93.8,30,18
2021,IDA,8/26/2021 15:00,32,16.9551,-79.1897,8/27/2021 15:00,62,20.9508,-82.1611,30,24
2021,IDA,8/28/2021 3:00,70,23.2157,-84.3868,8/29/2021 3:00,102,27.165,-88.1579,32,24
2022,IAN,9/25/2022 12:00,40,15,-79.4,9/26/2022 12:00,70,18.7,-82.4,30,24
2022,IAN,9/26/2022 12:00,70,18.7,-82.4,9/27/2022 6:00,100,21.8,-83.6,30,18
2022,IAN,9/27/2022 12:00,100,22.6,-83.6,9/28/2022 12:00,135,26,-82.7,35,24
2022,IAN,9/28/2022 0:00,105,24.4,-83,9/28/2022 12:00,135,26,-82.7,30,12
